doc_id,item,category,amount,price,discount
NRGHZM90,Мыло жидкое с дозатором,Косметика и гигиена,3,3018.38,69
NRGHZM90,Дезодорант-стик,Косметика и гигиена,4,2127.64,0
NRGHZM90,Отбеливатель 1л,Бытовая химия,3,577.62,65
NRGHZM90,Столовый прибор (ложка+вилка),Посуда,1,1919.33,72
NRGHZM90,Скатерть льняная,Текстиль,1,4395.33,58
NRGHZM90,Чай чёрный листовой 100г,Продукты,4,791.86,76
FCDSIZBJ,Дезодорант-стик,Косметика и гигиена,4,2835.88,65
FCDSIZBJ,Мыло жидкое с дозатором,Косметика и гигиена,4,4300.64,0
FCDSIZBJ,Столовый прибор (ложка+вилка),Посуда,1,2146.98,0
FCDSIZBJ,Мыло жидкое с дозатором,Косметика и гигиена,3,3675.79,0
FCDSIZBJ,Батарейки AAA 4шт,Товары для дома,1,1015.69,0
FCDSIZBJ,Пакеты для мусора 30л,Товары для дома,4,1916.19,54
3V812J9N,Чай чёрный листовой 100г,Продукты,3,1464.23,38
3V812J9N,Хлеб ржаной,Продукты,2,1189.39,0
3V812J9N,Кастрюля нержавеющая сталь 4л,Посуда,1,911.21,65
3V812J9N,Дезодорант-стик,Косметика и гигиена,3,1051.52,40
3V812J9N,Скатерть льняная,Текстиль,2,1766.54,44
3V812J9N,Пакеты для мусора 30л,Товары для дома,1,2484.18,0
3V812J9N,Чай чёрный листовой 100г,Продукты,1,75.25,64
3V812J9N,Стиральный порошок 3кг,Бытовая химия,2,2550.23,0
0PEL8V03,Тарелка глубокая 20см,Посуда,4,2348.21,68
0PEL8V03,Макароны из твёрдых сортов 400г,Продукты,3,2897.29,62
0PEL8V03,Яблоки свежие 1кг,Продукты,4,3063.53,66
8U0TSYOD,Отбеливатель 1л,Бытовая химия,2,3855.31,51
8U0TSYOD,Гель для душа 250мл,Косметика и гигиена,4,471.89,70
8U0TSYOD,Чай чёрный листовой 100г,Продукты,2,4797.22,0
8U0TSYOD,Отбеливатель 1л,Бытовая химия,4,4924.81,49
SKZ8P6IE,Ведро пластиковое 10л,Товары для дома,4,4167.34,0
XY4Y7XP2,Молоко 3.2% 1л,Продукты,2,701.98,63
XY4Y7XP2,Хлеб ржаной,Продукты,3,3865.49,79
XY4Y7XP2,Хлеб ржаной,Продукты,4,1788.96,70
XY4Y7XP2,Шампунь для волос 400мл,Косметика и гигиена,1,3561.73,58
A2Z29XOK,Скатерть льняная,Текстиль,2,127.42,44
A2Z29XOK,Кондиционер для белья,Бытовая химия,3,4017.43,38
A2Z29XOK,Чай чёрный листовой 100г,Продукты,2,4220.84,35
A2Z29XOK,Скатерть льняная,Текстиль,2,4741.51,31
N071PRZ7,Полотенце вафельное,Текстиль,3,1023.55,0
N071PRZ7,Зубная паста 100мл,Косметика и гигиена,1,1048.57,47
LFOAURND,Чистящее средство для кухни,Бытовая химия,1,4591.3,46
LFOAURND,Сковорода антипригарная 24см,Посуда,4,1682.89,56
LFOAURND,Мыло жидкое с дозатором,Косметика и гигиена,1,791.35,0
LFOAURND,Средство для мытья посуды 500мл,Бытовая химия,2,2309.0,73
LFOAURND,Яблоки свежие 1кг,Продукты,4,3546.0,0
TFIB3PTY,Гель для душа 250мл,Косметика и гигиена,1,641.0,33
TFIB3PTY,Отбеливатель 1л,Бытовая химия,3,2235.69,74
TFIB3PTY,Батарейки AAA 4шт,Товары для дома,4,832.55,36
TFIB3PTY,Стиральный порошок 3кг,Бытовая химия,2,1146.91,62
TFIB3PTY,Зубная паста 100мл,Косметика и гигиена,2,4875.84,53
TFIB3PTY,Коврик для ванной,Текстиль,2,521.22,0
UXBWIMB8,Набор кухонных полотенец,Текстиль,4,1770.07,51
HCJ0P8PX,Молоко 3.2% 1л,Продукты,1,616.71,32
HCJ0P8PX,Лампочка светодиодная 9W,Товары для дома,1,637.71,0
HCJ0P8PX,Кондиционер для белья,Бытовая химия,2,1467.86,49
HCJ0P8PX,Скатерть льняная,Текстиль,4,2817.63,65
XRIBVHUH,Сковорода антипригарная 24см,Посуда,4,474.08,43
XRIBVHUH,Кондиционер для белья,Бытовая химия,3,1426.01,0
XRIBVHUH,Хлеб ржаной,Продукты,2,3603.98,0
XRIBVHUH,Полотенце вафельное,Текстиль,4,1127.1,61
XRIBVHUH,Полотенце вафельное,Текстиль,3,2356.13,48
XRIBVHUH,Батарейки AAA 4шт,Товары для дома,2,2127.54,69
CYVXFSZ3,Хлеб ржаной,Продукты,1,1682.76,0
BM5P02NS,Чай чёрный листовой 100г,Продукты,4,4662.43,49
BM5P02NS,Пакеты для мусора 30л,Товары для дома,1,4124.42,72
BM5P02NS,Молоко 3.2% 1л,Продукты,4,2376.99,69
NT2V6D8D,Тарелка глубокая 20см,Посуда,2,1441.17,69
NT2V6D8D,Коврик для ванной,Текстиль,4,4666.8,0
NT2V6D8D,Хлеб ржаной,Продукты,4,3642.26,0
NT2V6D8D,Зубная паста 100мл,Косметика и гигиена,4,1394.99,0
D3JHO711,Коврик для ванной,Текстиль,4,2331.02,46
D3JHO711,Столовый прибор (ложка+вилка),Посуда,3,1034.73,31
D3JHO711,Кружка керамическая 300мл,Посуда,1,3941.12,79
D3JHO711,Кружка керамическая 300мл,Посуда,3,2147.64,0
D3JHO711,Сковорода антипригарная 24см,Посуда,2,3457.39,37
D3JHO711,Батарейки AAA 4шт,Товары для дома,1,2002.29,66
D3JHO711,Зубная паста 100мл,Косметика и гигиена,4,2075.35,62
D3JHO711,Кружка керамическая 300мл,Посуда,3,832.12,0
444RS27A,Чистящее средство для кухни,Бытовая химия,3,2162.24,61
444RS27A,Мыло жидкое с дозатором,Косметика и гигиена,3,2739.13,0
444RS27A,Яблоки свежие 1кг,Продукты,3,3626.7,74
I09FUAYM,Набор кухонных полотенец,Текстиль,1,1610.48,59
GBWCGC9R,Швабра с насадкой,Товары для дома,3,1865.98,54
GBWCGC9R,Столовый прибор (ложка+вилка),Посуда,3,964.45,0
GBWCGC9R,Гель для душа 250мл,Косметика и гигиена,4,85.66,68
GBWCGC9R,Тарелка глубокая 20см,Посуда,4,156.0,51
GBWCGC9R,Лампочка светодиодная 9W,Товары для дома,2,2426.0,58
GBWCGC9R,Постельное бельё 1.5 спальное,Текстиль,2,4048.96,0
GBWCGC9R,Молоко 3.2% 1л,Продукты,2,632.14,0
0QY95MTM,Хлеб ржаной,Продукты,2,4971.41,0
0QY95MTM,Чай чёрный листовой 100г,Продукты,2,4455.7,38
0QY95MTM,Сковорода антипригарная 24см,Посуда,1,3877.7,74
0QY95MTM,Кондиционер для белья,Бытовая химия,3,113.25,49
0QY95MTM,Кастрюля нержавеющая сталь 4л,Посуда,4,2444.12,71
0QY95MTM,Набор кухонных полотенец,Текстиль,4,2502.48,36
0QY95MTM,Ведро пластиковое 10л,Товары для дома,2,3752.77,42
0QY95MTM,Чай чёрный листовой 100г,Продукты,4,1687.88,67
I3V84V76,Ведро пластиковое 10л,Товары для дома,1,1154.55,71
I3V84V76,Скатерть льняная,Текстиль,3,4349.04,33
I3V84V76,Коврик для ванной,Текстиль,1,2877.33,50
I3V84V76,Отбеливатель 1л,Бытовая химия,4,2786.74,0
I3V84V76,Кастрюля нержавеющая сталь 4л,Посуда,2,4585.5,39
Z7OGSNO5,Отбеливатель 1л,Бытовая химия,1,3236.47,0
Z7OGSNO5,Гель для душа 250мл,Косметика и гигиена,2,2142.42,0
Z7OGSNO5,Пакеты для мусора 30л,Товары для дома,2,2298.36,63
A8CN0MD9,Полотенце вафельное,Текстиль,4,4827.65,76
A8CN0MD9,Пакеты для мусора 30л,Товары для дома,2,3107.7,33
A8CN0MD9,Макароны из твёрдых сортов 400г,Продукты,4,1698.99,49
A8CN0MD9,Яблоки свежие 1кг,Продукты,2,2100.42,71
A8CN0MD9,Кружка керамическая 300мл,Посуда,1,3246.96,0
A8CN0MD9,Лампочка светодиодная 9W,Товары для дома,3,2389.09,0
C9D0PEQ4,Ведро пластиковое 10л,Товары для дома,1,2208.22,42
C9D0PEQ4,Зубная паста 100мл,Косметика и гигиена,1,3229.4,32
C9D0PEQ4,Шампунь для волос 400мл,Косметика и гигиена,2,1060.19,76
83DI2MDJ,Пакеты для мусора 30л,Товары для дома,1,1415.2,0
83DI2MDJ,Молоко 3.2% 1л,Продукты,4,1423.82,0
83DI2MDJ,Гель для душа 250мл,Косметика и гигиена,4,4687.47,0
83DI2MDJ,Хлеб ржаной,Продукты,1,3591.54,76
83DI2MDJ,Дезодорант-стик,Косметика и гигиена,4,2579.47,0
83DI2MDJ,Средство для мытья посуды 500мл,Бытовая химия,1,160.34,54
YL584VFL,Скатерть льняная,Текстиль,2,4394.46,65
W0Y4VRFS,Шампунь для волос 400мл,Косметика и гигиена,4,4475.35,59
W0Y4VRFS,Средство для мытья посуды 500мл,Бытовая химия,4,3531.99,0
W0Y4VRFS,Мыло жидкое с дозатором,Косметика и гигиена,2,682.63,79
W0Y4VRFS,Хлеб ржаной,Продукты,4,1409.29,0
W0Y4VRFS,Чай чёрный листовой 100г,Продукты,1,3050.77,61
YZY106TP,Пакеты для мусора 30л,Товары для дома,3,271.34,34
YZY106TP,Столовый прибор (ложка+вилка),Посуда,4,3002.56,39
YZY106TP,Хлеб ржаной,Продукты,2,2216.81,66
YZY106TP,Отбеливатель 1л,Бытовая химия,3,1360.45,60
YZY106TP,Коврик для ванной,Текстиль,1,710.25,0
FF28H6EV,Яблоки свежие 1кг,Продукты,4,4320.55,41
FF28H6EV,Швабра с насадкой,Товары для дома,4,3009.28,53
FF28H6EV,Чистящее средство для кухни,Бытовая химия,3,4924.81,0
FF28H6EV,Дезодорант-стик,Косметика и гигиена,2,3781.56,0
FF28H6EV,Лампочка светодиодная 9W,Товары для дома,3,1416.61,61
FF28H6EV,Столовый прибор (ложка+вилка),Посуда,3,4310.3,0
GX8S6S2V,Батарейки AAA 4шт,Товары для дома,4,2922.08,68
GX8S6S2V,Мыло жидкое с дозатором,Косметика и гигиена,2,1615.5,0
GX8S6S2V,Молоко 3.2% 1л,Продукты,3,735.43,57
GX8S6S2V,Молоко 3.2% 1л,Продукты,3,3625.97,69
GX8S6S2V,Тарелка глубокая 20см,Посуда,3,3784.18,60
GX8S6S2V,Хлеб ржаной,Продукты,3,2168.38,37
6P5SQK3A,Пакеты для мусора 30л,Товары для дома,2,1740.95,65
OOLLVWH1,Полотенце вафельное,Текстиль,4,2808.76,52
