doc_id,item,category,amount,price,discount
VMLULAA6,Набор кухонных полотенец,Текстиль,1,3579.43,49
VMLULAA6,Коврик для ванной,Текстиль,1,1366.22,71
VMLULAA6,Лампочка светодиодная 9W,Товары для дома,4,941.06,0
VMLULAA6,Полотенце вафельное,Текстиль,4,2366.93,71
VMLULAA6,Чай чёрный листовой 100г,Продукты,3,1957.96,0
VMLULAA6,Хлеб ржаной,Продукты,3,4454.48,33
WGDRZA5J,Гель для душа 250мл,Косметика и гигиена,3,3731.23,0
WGDRZA5J,Хлеб ржаной,Продукты,4,3216.91,67
2AAWZYFN,Столовый прибор (ложка+вилка),Посуда,3,3845.34,53
2AAWZYFN,Сковорода антипригарная 24см,Посуда,1,4597.66,0
2AAWZYFN,Гель для душа 250мл,Косметика и гигиена,3,4679.02,53
2AAWZYFN,Молоко 3.2% 1л,Продукты,2,4111.42,77
2AAWZYFN,Тарелка глубокая 20см,Посуда,3,3496.58,76
2AAWZYFN,Гель для душа 250мл,Косметика и гигиена,3,3619.29,48
WMQDESFW,Швабра с насадкой,Товары для дома,2,1598.48,34
WMQDESFW,Средство для мытья посуды 500мл,Бытовая химия,2,1301.87,71
WMQDESFW,Шампунь для волос 400мл,Косметика и гигиена,2,3165.54,0
6B7WMN3S,Ведро пластиковое 10л,Товары для дома,1,3688.66,0
6B7WMN3S,Стиральный порошок 3кг,Бытовая химия,2,2818.18,41
6B7WMN3S,Швабра с насадкой,Товары для дома,3,3917.05,0
6B7WMN3S,Полотенце вафельное,Текстиль,4,2879.56,49
6B7WMN3S,Гель для душа 250мл,Косметика и гигиена,4,4513.66,39
6B7WMN3S,Шампунь для волос 400мл,Косметика и гигиена,1,4479.31,42
6B7WMN3S,Кастрюля нержавеющая сталь 4л,Посуда,1,4747.35,65
6B7WMN3S,Скатерть льняная,Текстиль,3,1152.66,0
FJZ72J8Q,Тарелка глубокая 20см,Посуда,2,429.39,49
FJZ72J8Q,Отбеливатель 1л,Бытовая химия,4,625.88,71
FJZ72J8Q,Батарейки AAA 4шт,Товары для дома,1,4100.03,74
OL89XG5P,Чай чёрный листовой 100г,Продукты,3,2389.75,37
OL89XG5P,Хлеб ржаной,Продукты,4,4507.74,47
OL89XG5P,Полотенце вафельное,Текстиль,1,3188.19,69
OL89XG5P,Сковорода антипригарная 24см,Посуда,3,3656.83,0
OL89XG5P,Молоко 3.2% 1л,Продукты,4,3923.72,0
OL89XG5P,Дезодорант-стик,Косметика и гигиена,1,4651.65,0
OL89XG5P,Зубная паста 100мл,Косметика и гигиена,1,1856.94,65
OL89XG5P,Средство для мытья посуды 500мл,Бытовая химия,4,1266.48,0
AQWMCWVW,Лампочка светодиодная 9W,Товары для дома,3,359.69,0
AQWMCWVW,Чистящее средство для кухни,Бытовая химия,4,2421.28,47
AQWMCWVW,Хлеб ржаной,Продукты,2,2487.72,67
AQWMCWVW,Дезодорант-стик,Косметика и гигиена,3,4552.71,66
AQWMCWVW,Средство для мытья посуды 500мл,Бытовая химия,2,500.65,65
AQWMCWVW,Скатерть льняная,Текстиль,2,1492.52,62
AQWMCWVW,Полотенце вафельное,Текстиль,2,1748.42,56
C7LILNX1,Шампунь для волос 400мл,Косметика и гигиена,3,2189.91,0
C7LILNX1,Столовый прибор (ложка+вилка),Посуда,2,3805.21,43
M6KQVYNO,Кондиционер для белья,Бытовая химия,2,723.13,56
M6KQVYNO,Кастрюля нержавеющая сталь 4л,Посуда,4,2394.01,59
M6KQVYNO,Лампочка светодиодная 9W,Товары для дома,4,3171.96,0
M6KQVYNO,Гель для душа 250мл,Косметика и гигиена,1,604.71,67
M6KQVYNO,Сковорода антипригарная 24см,Посуда,4,2477.24,0
YSG6I1BX,Постельное бельё 1.5 спальное,Текстиль,4,2959.68,0
YSG6I1BX,Пакеты для мусора 30л,Товары для дома,1,4162.78,68
YSG6I1BX,Пакеты для мусора 30л,Товары для дома,2,4654.84,0
ZL1KVC62,Зубная паста 100мл,Косметика и гигиена,2,4022.27,43
3VZWM3AR,Пакеты для мусора 30л,Товары для дома,1,4043.47,48
3VZWM3AR,Ведро пластиковое 10л,Товары для дома,1,3142.02,61
3VZWM3AR,Коврик для ванной,Текстиль,4,4538.3,0
I95PU0R9,Шампунь для волос 400мл,Косметика и гигиена,2,128.76,0
I95PU0R9,Гель для душа 250мл,Косметика и гигиена,3,3851.82,69
I95PU0R9,Полотенце вафельное,Текстиль,2,1620.73,48
I95PU0R9,Молоко 3.2% 1л,Продукты,3,4891.86,74
I95PU0R9,Коврик для ванной,Текстиль,4,406.47,54
AHT1WYPQ,Швабра с насадкой,Товары для дома,3,3360.57,51
AHT1WYPQ,Скатерть льняная,Текстиль,3,4451.14,0
AHT1WYPQ,Сковорода антипригарная 24см,Посуда,2,3791.58,75
