doc_id,item,category,amount,price,discount
MRG7OUMF,Сковорода антипригарная 24см,Посуда,3,2822.94,42
MRG7OUMF,Молоко 3.2% 1л,Продукты,4,3518.24,0
MRG7OUMF,Кружка керамическая 300мл,Посуда,2,1397.25,0
MRG7OUMF,Полотенце вафельное,Текстиль,2,2922.32,0
MRG7OUMF,Зубная паста 100мл,Косметика и гигиена,3,997.89,61
MRG7OUMF,Кондиционер для белья,Бытовая химия,2,2986.13,45
NE2GZ3U3,Средство для мытья посуды 500мл,Бытовая химия,3,3386.24,65
NE2GZ3U3,Тарелка глубокая 20см,Посуда,1,997.65,37
NE2GZ3U3,Тарелка глубокая 20см,Посуда,2,4189.8,0
NE2GZ3U3,Отбеливатель 1л,Бытовая химия,1,2077.09,67
NE2GZ3U3,Макароны из твёрдых сортов 400г,Продукты,1,2455.75,33
E3OQMA8N,Шампунь для волос 400мл,Косметика и гигиена,2,3071.0,73
E3OQMA8N,Молоко 3.2% 1л,Продукты,2,3581.43,79
E3OQMA8N,Батарейки AAA 4шт,Товары для дома,1,658.17,63
E3OQMA8N,Кондиционер для белья,Бытовая химия,4,4942.23,72
E3OQMA8N,Скатерть льняная,Текстиль,2,1841.66,34
E3OQMA8N,Пакеты для мусора 30л,Товары для дома,4,909.86,53
E3OQMA8N,Сковорода антипригарная 24см,Посуда,1,975.98,58
E3OQMA8N,Скатерть льняная,Текстиль,3,843.22,74
2KPKF7N0,Молоко 3.2% 1л,Продукты,3,3569.99,33
2KPKF7N0,Яблоки свежие 1кг,Продукты,1,1485.83,76
2KPKF7N0,Шампунь для волос 400мл,Косметика и гигиена,1,1719.88,38
2KPKF7N0,Шампунь для волос 400мл,Косметика и гигиена,4,4917.82,54
2KPKF7N0,Макароны из твёрдых сортов 400г,Продукты,4,1869.34,0
2KPKF7N0,Чистящее средство для кухни,Бытовая химия,2,3208.23,36
XCDYYXJ0,Яблоки свежие 1кг,Продукты,3,3577.3,56
XCDYYXJ0,Лампочка светодиодная 9W,Товары для дома,4,2231.95,0
XCDYYXJ0,Мыло жидкое с дозатором,Косметика и гигиена,3,2838.44,77
XCDYYXJ0,Кружка керамическая 300мл,Посуда,3,269.8,0
